	tweet	class	prediction
24888	real nigga shit she wanna be a righteous young rich nigga bitch	1	2
630	"""Your homeboy looking bad and you giving cash to them hoes"""	1	1
22243	These hoes aint yours	1	2
9232	Every nigga tryna fuck the next nigga bitch not knowing his bitch is the next nigga bitch!	1	2
4116	@MSoltan18 @Matt_Simonson @KoredeB9 nvm thought we were talking fifa sorry matt you're not trash at zombies	1	1
11724	I'm with another nigga bitch &#128514;&#128514;	1	2
123	"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha"	2	2
9882	Haha bitch ass gucci	1	1
20646	RT @tnicolle_rauzi: We always bitch about the opposite sex when we're equally just as scandalous. Not all, but a large sum. Hypocrisy at it&#8230;	1	1
3514	@Huntermoore finger my wet throbbing pussy slowly as I cum on ur fingers	1	1
3829	@JusDahl I want some.....I'm so damn tired of being in the fucking kitchen, a bitch is hot and needs a glass of wine and a back rub	1	2
23353	Why do yall bitches act so childish	1	1
16886	RT @Montrell_: Bitches be swearing they pussy soooo good &#128553;&#128530; nonsense &#128545;	1	2
18383	RT @VersaceTweetGod: Jenny was a hoe til she got AIDS until she was ready to settle down with Forrest Gump who tried saving her SO many tim&#8230;	1	1
16915	RT @Mr_JSmart24: Man I would be happy as a fat bitch in Chipotle if Atlanta get Clowney&#8230;but its gone cost to go get him and I'll be happy w&#8230;	1	1
15779	RT @HG_Shit: @1BookieG I just fucked yo bitch bruh.. I tried not to tho	1	0
17444	RT @RealBobbyJay: If a mf really like you&#9786;&#65039;, they'll drop all their hoes&#128108;&#128109;, exes&#9995;&#128530;, &amp; groupies and focus only on you.. &#128107;	1	1
4507	@PabloMuchoLive she a hoe not a housewife &#128527;	1	2
15718	"RT @GoatRapLines: Chief Keef changed the rap game when he said ""bitch I'm cooler than a cooler"""	1	2
11254	I think these bitches tryna set me uuuuhhuuhhhhhp	1	1
22608	This shit is retarded &#8220;@_llVlllVlX: &#128128;&#128553;&#128557; http://t.co/se2xiDTmIF&#8221;	1	2
17570	RT @SVL305: @VJtechsupport @YoungMcFly since we on the subject she used to always ask to to see my dick via dm.. fck dat rat face hoe b	1	1
11796	If I post a picture of my woman, All you hoes jumping off a bridge tonight! Lol	1	1
16928	RT @MsRock4Ever: bitch mcconnell has been a 30-year parasite and we can not afford him any longer. @VoteBlue, Vote @AlisonForKY	1	0
14477	RT @Alex_Simonson: EVERYONE PRAY FOR MY BROTHER nothin wrong with him he just a bitch lmaoo http://t.co/uDKCfhBUIz	1	2
15100	RT @ColeMcDowell2: &#8220;@FriendlyAssh0le: rt if u remember when steve from 'blue clues' left us with that other bitch ass nigga joe http://t.co&#8230;	1	0
22911	WATCH: Excited ISIS Jihadis Getting Their Yezidi Sex Slaves On 'Distribution Day' http://t.co/n9ExnuVhKs #tcot #lnyhbt #pjnet #tgdn #gop	1	2
12983	Lot of my peeps playing 2nite, G playing against the heat, my nig Louie playing against Rutgers, and my girl tif playing in the WNBA finals	1	2
20879	RT @zFearless: @Fadeaway_4s fuck a bitch and think of me	1	0
16113	"RT @JamesOKeefeIII: Denver TV airs clip of digging through trash in ""Ghetto Aurora"" to put Black and Mexican ballots to ""good use.&#8221; http://&#8230;"	2	1
16774	"RT @MattieTrump97: Win % since pile of trash @jairusbyrd went to New Orleans:

#Buffalo:1.000
#NewOrleans:0.0000000000000

#FuckByrd
#WhoNe&#8230;"	1	1
11241	I think I'll have salad bar for lunch today. Gotta make up for the birthday brownies somehow... #LastHurrahThenDietStarts	2	1
14097	Parker Cannon is lyrically beautiful. That bitch comes up with the best lyrics for his songs. Like fuck, man.	1	2
3583	@ImToBlame Apple TV got the NFL channel on that bitch, I'm pretty sure they're all on there. I've watched a couple. @DukeOfZamunda	1	1
24394	harm this pussy instead RT @ABC7: missing 26-yr-old USC medical student last seen Tuesday May harm himself http://t.co/evU04p6SUR	0	1
1939	&#8220;@sneakerhead226: I cant talk right now i got pussy on my tongue&#8221;	1	2
6324	@icpchad @UnseeingEyes ......monkey look, just like you!	2	1
8109	Baby I can make that pussy raaain OFTEN.	1	1
738	#IfWeDate i eat da pussy better than a lesbian.	1	1
22662	Time to go make the gym my bitch	1	1
20377	RT @rodill_: niggas passing up good girls for hoes.	1	1
11054	I need a bad bitch thats gon treat me good	1	1
23491	Wut a bitch	1	2
23565	Yall black ass hoes aint east African	1	1
21345	Smashed a werewolf chick and thought she was related to @DominiquePurdy so I felt guilty but then later discovered he didn't know the ho	1	1
15018	RT @CherryBby_xoxo: If this bitch don't just go through the freaking packet &#128530;	1	1
2968	@Cotton_Candy9 god wrote em now think again coon	1	1
22848	"Ugly hoes favorite line: ""I'm far from ugly..."" I be like naw hoe, you closer than you think!"	1	1
10055	Here some kimora boobies for you &#128139; &#128298; this is how unlock before I slice a bitch. #kimorablac&#8230; http://t.co/xGb0Th91LJ	1	1
18599	RT @YoungRecklesss_: Ain't no money or no hoe in the world can spoil it &#128175; #MyBrothersKeeper	1	2
4128	@MadameCurry_ what kind of hoe are you dressing up as?	1	1
19315	RT @djgoofy500: I gave my number to this bad ass bitch a few days ago,She said I'll call you when I make it home. I'm starting to think tha&#8230;	1	0
12823	Lmao! RT @HUMonTHESE Harden look like the last air bender out this bitch. http://t.co/jN8exkXf	1	2
14825	RT @BriannDominguez: Gasoline - daddy Yankee &#128175;&#128076;	2	2
19072	RT @billmanoussakis: Damn I fuck bitches I guess	1	1
3030	@DangItsTiff you look like fucking shrek bitch	0	1
10861	I just got so hype haha lets go!!!! Beat the shit out dat pussy ass niqqa	1	2
13801	"Notice I don't make music for niggas that don't get pussy.-Drake
#LordKnows"	1	1
10699	I had to unfollow some crazy asian bitch earlier lol I don't play	1	1
10580	I find it amusing that Senator @tedcruz is an anchor baby. #LMAO	2	1
16294	RT @KINGTUNCHI_: Lol that same bitch I was cool with was was down to sit me up in get me kill in get on twitter in talk about it.	1	1
22775	Twitter is trash	2	1
14175	Photo: deafreaperventus: wayward-sons-and-fallen-angels: murderous-crows: *gay intensifies* are you saying... http://t.co/qbktWtWFCY	1	1
22463	This bitch needs to turn off her shitty music &#128544;	1	0
11708	I'm the pull bitch	1	2
10794	I hate when people tell me I have to many tattoos, and they make me look ugly. Like bitch fuck you	0	2
12157	"Is it just me or is Hicks saying ""bung beds""? @RonandFezSXM"	2	2
4457	@Of_Angelis yep, which is messier/more dangerous/more environmentally-unfriendly than their retarded new spouts. @innov82bgr8	1	0
4378	@NayNooski @kboavz which one bobby bitch or hot nigga?	1	1
17694	RT @ShitPussiesSay: Dudes built like a crushed Twinkie http://t.co/1WsYI6gDVP	2	1
17809	RT @SteadmanTerri: @wheeler_kashhh bitch waaaaaa??	1	2
23994	Your leader rocks a fucking mo hawk and dances like a faggot from ATL @HoustonRockets	1	1
13643	Niggas be bitches hoes be bitches ion see no difference	1	2
17846	RT @Stfu_NobodyCare: &#128514;&#128514;&#128514;&#128514;&#128514;&#128514; &#8220;bird fucking&#8221;	1	2
14633	RT @BaddieBellaDona: Instant mashed potatoes are trash &#128686;	2	1
1936	&#8220;@skinnysowhat: @PAPER_CHAYSIN you won't have to herd for hoes no more lol&#8221; lmao I hope not this shit SCHRESSFUL	1	1
16212	RT @JoeCool_TVC: You can't be a hoe saying that another girls a hoe. Your both hoes, it cancels each other out.	1	1
10838	I hope you all accidentally get a fat black bitch pregnant	1	1
23777	You don't HAVE to say it. You showed yaself. RT @UptownRaised: Bitch nobody said I did now shut the fuck up that fat made you retarded @VofD	1	1
8577	Can't keep a shallow bitch if ya pockets ain't deep.	1	2
24922	shit bitch nigga shit	1	1
20797	RT @xBrandi_: Only real bitches suck dick	1	2
4278	@MorbidMermaid I swear to god nigger you better still hang with me before work. You got my hype	0	1
3360	@GlynJackson2 @Rachh_Basss granted cracker isn't that bad because when you say that to a white person your saying their one of the slave	1	1
20843	RT @yankee7kid: Who's to blame for the Yankees underperformance this year? The Umps? Management? The Ebola Outbreak?...How 'bout the player&#8230;	2	2
21438	So to the fat, toothless, sack chasing bitch that just yelled at me from her busted ass van window. Fuck off and get a real job	1	2
9873	Had to change my shit up on u hoes	1	1
8862	Damn girl I'll be your porch monkey	1	1
1837	&#8220;@jaimescudi_: @Tonybthrz_ @cinndyyxoxo_ @BriannNiloo_ fuck me then bitch&#8221; shut up and roll threw	1	2
1548	&#8220;@SexyUnderHere: Females that know they are hoes really the coolest chicks....all sex asides&#8221;lmao	1	1
15985	"RT @ImLeslieChow: My entire school: ""You don't talk much."" Me: ""Beause you're all cunts."""	1	2
4078	"@Lov3Tadaisha &#128514;&#128514;&#128514;&#128514;&#128514;&#128514; I gotta keep my ""hoes"" on private."	1	1
4986	@Tamela_X But a wannabe ghetto white girl will deal with an unaccomplished black man for more than sex.	1	1
23248	Where a prego bitch when I need one I have no milk an a whole box of cinnamon toast crunch man	1	2
